estacao,lat,long,prec
350050101A,-22.475,-46.628,901.6
350050102A,-22.482,-46.593,876.6
350060001A,-22.60101,-47.87462,4.6
350160801A,-22.73563,-47.31487,553.74
350190501A,-22.704,-46.818,715.47
350190502A,-22.659908,-46.753684,753
350190503A,-22.722,-46.838,0
350250701A,-22.86,-45.225,561.8
350250702A,-22.8333,-45.2164,204.4
350250703A,-22.8681,-45.2603,579.4
350250704A,-22.839,-45.231,602
350270501A,-24.507622,-48.848371,475.2
350270502A,-24.54994,-48.83706,21.8
350270503A,-24.49242,-48.84586,467
350275401A,-23.4381,-47.0637,672
350290301A,-23.50509,-47.61925,559.2
350315801A,-22.6746,-44.44577,782.46
350320801A,-21.805,-48.178,409.8
350320802A,-21.782,-48.155,580.6
350320803A,-21.768,-48.181,591.4
350330701A,-22.374879,-47.386852,567.4
350350501A,-22.57941,-44.69773,645
350380201A,-22.567,-47.154,537.5
350380203A,-22.581,-47.18,511
350390101A,-23.3919,-46.3108,848.8
350410701A,-23.1068,-46.50581,520.92
350410702A,-23.13319,-46.656569,600.2
350410703A,-23.21842,-46.54781,764.4
350410704A,-23.14871,-46.54675,583.2
350410705A,-23.0434,-46.48799,458
350410706A,-23.16773,-46.62687,529
350450301A,-23.077,-48.925,421.03
350450302A,-23.101,-48.92,693
350450303A,-23.111,-48.932,773.8
350450304A,-23.117,-48.909,75.2
350490901A,-22.679,-44.317,652
350535101A,-24.472,-49.025,634.4
350540101A,-24.757,-48.505,485.4
350570801A,-23.481,-46.88,572.77
350570802A,-23.486,-46.805,668.8
350570803A,-23.499,-46.905,746.8
350600301A,-22.328,-49.102,844.4
350600304A,-22.357,-49.094,814.4
350600305A,-22.334,-49.057,900.4
350600306A,-22.236,-49.218,558
350600307A,-22.2962,-49.0723,866.6
350635901A,-23.773,-45.954,1294.68
350635902A,-23.847,-46.142,755.31
350660701A,-23.58773,-46.04429,653.8
350700101A,-23.28891,-47.67549,609.8
350710001A,-23.136,-46.466,541.2
350715901A,-24.319,-49.142,14
350760501A,-22.9468,-46.5412,515.2
350760502A,-22.94213,-46.53107,567
350760526H,-22.948083,-46.542944,490.6
350840501A,-23.307,-47.133,609.03
350840502A,-23.244,-47.06,252.39
350840503A,-23.354,-47.082,668.4
350850401A,-23.11058,-45.71035,598.36
350860301A,-22.66165,-45.00388,581
350860354A,-22.674205,-44.995874,52.4
350860397H,-22.674,-44.995534,554.8
350880101A,-21.803,-49.61,642
350900701A,-23.33,-46.748,750.8
350900702A,-23.395,-46.715,733.39
350900704A,-23.34621,-46.76283,672.6
350900705A,-23.405,-46.673,657
350920501A,-23.329,-46.918,561.2
350920502A,-23.31435,-46.86301,582.2
350920504A,-23.364,-46.872,706.8
350925401A,-24.725,-48.114,477.37
350925402A,-24.777,-48.2,324.17
350950202A,-22.831,-47.081,745.94
350950204A,-22.935702,-47.137816,525.79
350950206A,-22.979,-47.133,567.59
350950208A,-22.95334,-47.09081,735.4
350950230H,-22.893,-47.06,573
350950231H,-22.888,-46.939,247.8
350960101A,-23.202,-46.717,792.38
350960102A,-23.201,-46.795,794.21
350960103A,-23.217,-46.759,731.6
350970001A,-22.742,-45.595,948.44
350970001G,-22.73986,-45.5985,850.8
350970003G,-22.75348,-45.61511,694.8
350970004A,-22.739586,-45.595992,668.82
350970004G,-22.75251,-45.61481,816
350970004H,-22.73858611,-45.59288611,979.2
350970005A,-22.731,-45.577,758.2
350970006G,-22.743815,-45.589568,956.4
350970008A,-22.749,-45.614,848.4
350970009A,-22.74833,-45.58384,723.4
350970011A,-22.7501,-45.6038,994.2
350970013A,-22.7439,-45.5549,967.2
350990801A,-25.001,-47.933,0
350995701A,-22.7025,-45.05077,615
351030201A,-23.47379,-47.73533,521.8
351040101A,-23.005,-47.513,549
351040118H,-23.003429,-47.501019,638
351050003A,-23.708,-45.468,411.23
351050004A,-23.571,-45.274,936.38
351050007A,-23.607,-45.38,627.56
351050008A,-23.629,-45.437,564.43
351050010A,-23.618,-45.39,566.6
351050011A,-23.612,-45.423,640.33
351050012A,-23.583,-45.33,668.88
351050013A,-23.597,-45.43,566.09
351050014A,-23.637,-45.426,530.37
351050015A,-23.661,-45.518,663.65
351050016A,-23.698,-45.438,500.07
351050017A,-23.602,-45.37,109.39
351050018A,-23.616,-45.379,652.59
351050019A,-23.579,-45.338,656.09
351060901A,-23.56132,-46.84739,783
351060902A,-23.51665,-46.83589,332.8
351150801A,-23.1588,-47.74168,633.6
